Entity,Code,Year,Temp,Wheat,Rice | 00000027 || Yield | 005419 || tonnes per hectare,Bananas | 00000486 || Yield | 005419 || tonnes per hectare,Maize | 00000056 || Yield | 005419 || tonnes per hectare,Soybeans | 00000236 || Yield | 005419 || tonnes per hectare,Potatoes | 00000116 || Yield | 005419 || tonnes per hectare,"Beans, dry | 00000176 || Yield | 005419 || tonnes per hectare","Peas, dry | 00000187 || Yield | 005419 || tonnes per hectare",Cassava | 00000125 || Yield | 005419 || tonnes per hectare,"Cocoa, beans | 00000661 || Yield | 005419 || tonnes per hectare",Barley | 00000044 || Yield | 005419 || tonnes per hectare
Australia,AUS,1961,21.55,5.899999619,5.899999619,11.96399975,2.121299982,0.6667000055,12.32849979,0.5525000095,0.9185000062,,,0.9758999944
Australia,AUS,1962,21.6,6.844299793,6.844299793,11.96399975,2.178499937,0.7737999558,13.98320007,1.100099921,0.9826999903,,,1.093999982
Australia,AUS,1963,21.75,6.298099995,6.298099995,11.18809986,2.234299898,0.5977999568,14.71449947,0.5151000023,1.077000022,,,1.207999945
Australia,AUS,1964,21.75,6.073699951,6.073699951,12.46899986,1.964599967,0.4470999837,13.8362999,0.5938999653,1.091699958,,,1.338999987
Australia,AUS,1965,21.84,6.336499691,6.336499691,13.04319954,2.033599854,0.6053000093,14.5078001,0.2026000023,0.6329999566,,,1.020399928
Australia,AUS,1966,22.09,7.175499916,7.175499916,12.67039967,1.569399953,0.385800004,16.65769958,0.4685999751,0.8162999749,,,1.381899953
Australia,AUS,1967,21.68,7.407399654,7.407399654,13.63409996,2.334699869,0.663500011,16.25250053,0.6046000123,0.4179999828,,,0.7896999717
Australia,AUS,1968,21.57,7.417500019,7.417500019,13.97129917,2.233799934,0.5478999615,15.63679981,0.2087000012,1.038999915,,,1.227699995
Australia,AUS,1969,22.16,7.923799992,7.923799992,13.26859951,2.240099907,0.8312999606,17.67289925,0.4805999994,0.8474999666,,,1.116699934
Australia,AUS,1970,21.78,6.227399826,6.227399826,13.91389942,2.406899929,1.012300014,17.57679939,0.2413999885,1.028499961,,,1.175499916
Australia,AUS,1971,21.32,7.391799927,7.391799927,14.09130001,2.475600004,1.256799936,20.04979897,0.7731999755,1.077199936,,,1.208899975
Australia,AUS,1972,21.89,6.128099918,6.128099918,14.16129971,2.735899925,1.866299987,20.34109879,0.1890999973,0.6762999892,,,0.8069999814
Australia,AUS,1973,22.01,6.851399899,6.851399899,12.17269993,2.342299938,1.356699944,19.68759918,0.5613999963,0.9927999973,,,1.265299916
Australia,AUS,1974,21.79,6.059099674,6.059099674,13.10179996,2.319900036,1.531000018,19.03750038,0.8758999705,1.094499946,,,1.377699971
Australia,AUS,1975,21.48,5.121599674,5.121599674,13.72069931,2.593600035,1.60589993,19.71899986,0.798699975,1.022799969,,,1.36500001
Australia,AUS,1976,21.8,5.571899891,5.571899891,15.01569939,2.811300039,1.6947999,20.84230042,0.7218999863,0.8380999565,,,1.226599932
Australia,AUS,1977,21.96,5.758499622,5.758499622,17.22739983,2.719199896,1.5970999,21.50709915,0.7936999798,0.5121999979,,,0.850399971
Australia,AUS,1978,21.75,5.355700016,5.355700016,15.90889931,2.868299961,1.533100009,21.41479874,1.038900018,1.257799983,,,1.438399911
Australia,AUS,1979,22.22,6.279200077,6.279200077,16.4484005,3.375999928,1.839899898,22.93109894,0.3571999967,1.137099981,,,1.491899967
Australia,AUS,1980,22.23,5.26970005,5.26970005,17.60059929,2.791199923,1.449899912,23.38669968,0.6493999958,1.155499935,,,1.094200015
Australia,AUS,1981,21.88,7.169799805,7.169799805,16.35420036,3.058399916,1.84799993,24.23889923,1.009699941,1.246299982,,,1.28489995
Australia,AUS,1982,21.89,6.747999668,6.747999668,17.11559868,3.481899977,1.901899934,25.42910004,0.2270999998,1.307299972,,,0.7904999852
Australia,AUS,1983,21.64,6.753200054,6.753200054,17.90939903,2.165299892,1.102200031,22.98110008,0.6557999849,1.442199945,,,1.572899938
Australia,AUS,1984,21.82,5.325999737,5.325999737,18.01239967,3.48059988,1.843499899,26.87679863,0.6222999692,1.175799966,,,1.578799963
