Entity,Code,Year,Temp,Wheat | 00000015 || Yield | 005419 || tonnes per hectare,Rice | 00000027 || Yield | 005419 || tonnes per hectare,Bananas | 00000486 || Yield | 005419 || tonnes per hectare,Maize | 00000056 || Yield | 005419 || tonnes per hectare,Soybeans | 00000236 || Yield | 005419 || tonnes per hectare,Potatoes | 00000116 || Yield | 005419 || tonnes per hectare,"Beans, dry | 00000176 || Yield | 005419 || tonnes per hectare","Peas, dry | 00000187 || Yield | 005419 || tonnes per hectare",Cassava | 00000125 || Yield | 005419 || tonnes per hectare,"Cocoa, beans | 00000661 || Yield | 005419 || tonnes per hectare",Barley | 00000044 || Yield | 005419 || tonnes per hectare
China,CHN,1961,6.32,0.5577999949,2.043400049,12,1.184199929,0.6243000031,9.923099518,0.6870999932,0.9866999984,11.75,,1.05219996
China,CHN,1962,6.33,0.692900002,2.340800047,8.75,1.269500017,0.6856999993,9.199999809,0.8285999894,1.181800008,11.76469994,,1.144299984
China,CHN,1963,6.41,0.7779999971,2.664199829,10.75,1.3398,0.7179999948,8,0.7856999636,1.10710001,11.17649937,,1.077600002
China,CHN,1964,6.43,0.8210999966,2.806200027,16.5,1.478399992,0.7870999575,8.75,0.8213999867,1.240700006,11.11109924,,1.264699936
China,CHN,1965,6.45,1.021700025,2.944099903,18.125,1.510699987,0.715299964,9.411799431,0.8392999768,1.240700006,12.22219944,,1.479699969
China,CHN,1966,6.63,1.057999969,3.127699852,13.33329964,1.713499904,0.9824999571,9,0.719999969,1,11.57889938,,1.048300028
China,CHN,1967,6.71,1.126999974,3.081099987,12.5,1.934399962,0.9735999703,8.949999809,0.719999969,1,12,,1.438799977
China,CHN,1968,6.65,1.114599943,3.165299892,11.25,1.816899896,0.9623999596,8.899999619,0.6667000055,0.9129999876,11.66669941,,1.068599939
China,CHN,1969,6.68,1.085500002,3.126899958,11.42859936,1.776299953,0.9170999527,10.15789986,0.6956999898,0.9090999961,11.53849983,,1.05219996
China,CHN,1970,6.69,1.147499919,3.402499914,12.76919937,2.088500023,1.091899991,10.75,0.8260999918,1.045499921,11.42859936,,1.139500022
China,CHN,1971,6.72,1.271799922,3.302599907,12.59999943,2.145599842,1.106099963,10.4762001,0.8736999631,1.157899976,12,,1.260699987
China,CHN,1972,6.75,1.369499922,3.22879982,11.39999962,1.923799992,0.8513999581,10.2173996,0.888899982,1.052600026,11.875,,1.268199921
China,CHN,1973,6.78,1.333699942,3.472699881,12.38459969,2.333600044,1.131099939,13.5,0.9443999529,1.10529995,11.76469994,,1.076499939
China,CHN,1974,6.66,1.511600018,3.492599964,12.61539936,2.467700005,1.029799938,13,1,1.166700006,11.76469994,,1.48149991
China,CHN,1975,6.76,1.639699936,3.517799854,13.75,2.541599989,1.03549993,11.57139969,1,1.166700006,11.66669941,,1.760599971
China,CHN,1976,6.71,1.775399923,3.477099895,16,2.506599903,0.9933999777,11.30000019,0.9705999494,1.222199917,12.22219944,,2.014799833
China,CHN,1977,6.72,1.464999914,3.62259984,14,2.51549983,1.061699986,13.23749924,0.9411999583,1.111099958,12.10529995,,1.974999905
China,CHN,1978,6.57,1.844900012,3.978099823,17,2.802999973,1.059599996,12.74819946,1.103299975,1.571399927,12.5,,2.229500055
