Entity,Code,Year,Temp,Wheat | 00000015 || Yield | 005419 || tonnes per hectare,Rice | 00000027 || Yield | 005419 || tonnes per hectare,Bananas | 00000486 || Yield | 005419 || tonnes per hectare,Maize | 00000056 || Yield | 005419 || tonnes per hectare,Soybeans | 00000236 || Yield | 005419 || tonnes per hectare,Potatoes | 00000116 || Yield | 005419 || tonnes per hectare,"Beans, dry | 00000176 || Yield | 005419 || tonnes per hectare","Peas, dry | 00000187 || Yield | 005419 || tonnes per hectare",Cassava | 00000125 || Yield | 005419 || tonnes per hectare,"Cocoa, beans | 00000661 || Yield | 005419 || tonnes per hectare",Barley | 00000044 || Yield | 005419 || tonnes per hectare
India,IND,1961,24.05,0.8506999612,1.54189992,13.67879963,0.9566999674,0.4544999897,7.250699997,0.2576999962,0.891900003,7.186100006,,0.8795999885
India,IND,1962,24.1,0.8895999789,1.395900011,13.39779949,0.9921999574,0.4544999897,6.704099655,0.2682999969,0.8769999743,7.1395998,,0.9510999918
India,IND,1963,24.25,0.7928999662,1.549799919,13.47669983,0.9953999519,0.4443999827,8.147699356,0.2592999935,0.7742999792,7.113399982,,0.8015999794
India,IND,1964,24.25,0.7299000025,1.6171,13.55559921,1.00999999,0.4443999827,6.24819994,0.2809000015,0.5156999826,11.56969929,,0.7346999645
India,IND,1965,24.34,0.9131999612,1.293599963,15.50239944,1.004999995,0.434799999,8.403299332,0.2400999963,0.8249999881,12.63749981,,0.9399999976
India,IND,1966,24.59,0.8267999887,1.29519999,16.3253994,0.9644999504,0.434799999,8.509399414,0.2329999954,0.7272999883,12.79339981,,0.9023000002
India,IND,1967,24.18,0.8873999715,1.548399925,15.39899921,1.122799993,0.4443999827,7.440299988,0.265899986,0.6028000116,13.16209984,,0.8313999772
India,IND,1968,24.07,1.102800012,1.613399982,14.20449924,0.9973999858,0.4443999827,8.440999985,0.2518000007,0.9225999713,13.37860012,,1.037999988
India,IND,1969,24.66,1.168799996,1.609399915,13.80550003,0.9678999782,0.4375,9.011300087,0.2698999941,0.921299994,12.91749954,,0.8787999749
India,IND,1970,24.28,1.208599925,1.684899926,12.90329933,1.279099941,0.4375,7.888299942,0.3089999855,0.7807999849,14.78759956,,0.9824000001
India,IND,1971,23.82,1.306599975,1.710999966,15.01599979,0.8998999596,0.4375,9.975500107,0.2703000009,0.8450999856,14.85979939,,1.089999914
India,IND,1972,24.39,1.379899979,1.604599953,14.53969955,1.094300032,0.8234999776,9.80989933,0.2331999987,0.7568999529,17.03680038,,1.049600005
India,IND,1973,24.51,1.270799994,1.725899935,14.2149992,0.9648000002,0.8125,8.820799828,0.3091000021,0.5719000101,17.54240036,,0.9714999795
India,IND,1974,24.29,1.171899915,1.574399948,13.9204998,0.9480999708,0.7611999512,8.945699692,0.2601000071,0.4937999845,17.43859863,,0.8946999907
India,IND,1975,23.98,1.338400006,1.858199954,14.73209953,1.203099966,0.978499949,10.59819984,0.3163000047,0.6869999766,16.32069969,,1.086599946
India,IND,1976,24.3,1.410300016,1.637199998,15.28969955,1.060099959,0.9839999676,11.73839951,0.3001999855,0.7687000036,16.93439865,,1.139199972
India,IND,1977,24.46,1.386600018,1.961299896,15.79579926,1.051100016,0.9384999871,11.57310009,0.3296999931,0.6431999803,16.52409935,0.7894999981,1.045699954
